date,tsa,tot_confirmed_covid_patients_in_hosp,tot_suspected_covid_patients_in_hosp,tot_confirmed_covid_admits_last_24hrs,tot_suspected_covid_admits_last_24hrs,adult_suspected_covid_admits_in_the_last_24hr,pediatric_suspected_covid_admits_in_the_last_24hr,tot_lab_conf_covid_icu,tot_susp_covid_icu,hosp_onset_covid,ed_overflow,prev_day_covid_fatalities,Reporting Rate,Reported Date,Reported Time,Time Zone,Notes
2020-07-28,O,420,NA,40,12,NA,NA,NA,NA,2,1,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,P,1157,NA,132,46,NA,NA,NA,NA,18,39,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,Q,2296,NA,69,442,NA,NA,NA,NA,25,9,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,R,384,NA,18,36,NA,NA,NA,NA,0,1,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,S,183,NA,15,3,NA,NA,NA,NA,7,1,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,T,253,NA,25,0,NA,NA,NA,NA,0,2,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,U,438,NA,29,37,NA,NA,NA,NA,2,27,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,V,1379,NA,0,0,NA,NA,NA,NA,36,149,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,Total,9595,NA,804,1049,NA,NA,NA,NA,109,275,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-29,A,70,NA,12,3,NA,NA,NA,NA,0,4,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,B,130,NA,35,28,NA,NA,NA,NA,0,0,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,C,34,NA,2,3,NA,NA,NA,NA,1,2,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
2020-07-29,D,61,NA,10,23,NA,NA,NA,NA,0,1,NA,0.95,2020-07-30,11:37:00 AM,PDT,NA
