state,fips,county,date,active
Texas,48,Archer,2020-07-07,6
Texas,48,Archer,2020-07-08,7
Texas,48,Archer,2020-07-09,7
Texas,48,Archer,2020-07-10,3
Texas,48,Archer,2020-07-11,3
Texas,48,Archer,2020-07-12,3
Texas,48,Archer,2020-07-13,2
Texas,48,Archer,2020-07-14,3
Texas,48,Archer,2020-07-15,3
Texas,48,Archer,2020-07-16,2
Texas,48,Archer,2020-07-17,2
Texas,48,Archer,2020-07-18,2
Texas,48,Archer,2020-07-19,2
Texas,48,Archer,2020-07-20,1
Texas,48,Archer,2020-07-21,2
Texas,48,Archer,2020-07-22,2
Texas,48,Archer,2020-07-23,1
Texas,48,Archer,2020-07-24,0
Texas,48,Archer,2020-07-25,1
Texas,48,Archer,2020-07-26,1
Texas,48,Archer,2020-07-27,1
Texas,48,Armstrong,2020-04-07,0
Texas,48,Armstrong,2020-04-08,0
Texas,48,Armstrong,2020-04-09,0
Texas,48,Armstrong,2020-04-10,0
Texas,48,Armstrong,2020-04-11,0
Texas,48,Armstrong,2020-04-12,0
Texas,48,Armstrong,2020-04-13,0
Texas,48,Armstrong,2020-04-14,1
Texas,48,Armstrong,2020-04-15,1
Texas,48,Armstrong,2020-04-16,1
Texas,48,Armstrong,2020-04-17,1
Texas,48,Armstrong,2020-04-18,1
Texas,48,Armstrong,2020-04-19,1
Texas,48,Armstrong,2020-04-20,1
Texas,48,Armstrong,2020-04-21,1
Texas,48,Armstrong,2020-04-22,1
Texas,48,Armstrong,2020-04-23,1
Texas,48,Armstrong,2020-04-24,1
Texas,48,Armstrong,2020-04-25,2
Texas,48,Armstrong,2020-04-26,2
Texas,48,Armstrong,2020-04-27,2
Texas,48,Armstrong,2020-04-28,1
Texas,48,Armstrong,2020-04-29,1
Texas,48,Armstrong,2020-04-30,1
Texas,48,Armstrong,2020-05-01,1
Texas,48,Armstrong,2020-05-02,1
Texas,48,Armstrong,2020-05-03,1
Texas,48,Armstrong,2020-05-04,1
Texas,48,Armstrong,2020-05-05,1
Texas,48,Armstrong,2020-05-06,1
Texas,48,Armstrong,2020-05-07,1
Texas,48,Armstrong,2020-05-08,1
Texas,48,Armstrong,2020-05-09,1
Texas,48,Armstrong,2020-05-10,0
Texas,48,Armstrong,2020-05-11,0
Texas,48,Armstrong,2020-05-12,0
Texas,48,Armstrong,2020-05-13,0
Texas,48,Armstrong,2020-05-14,0
Texas,48,Armstrong,2020-05-15,0
Texas,48,Armstrong,2020-05-16,0
Texas,48,Armstrong,2020-05-17,0
Texas,48,Armstrong,2020-05-18,0
Texas,48,Armstrong,2020-05-19,0
Texas,48,Armstrong,2020-05-20,0
Texas,48,Armstrong,2020-05-21,0
Texas,48,Armstrong,2020-05-22,0
Texas,48,Armstrong,2020-05-23,0
Texas,48,Armstrong,2020-05-24,0
Texas,48,Armstrong,2020-05-25,0
Texas,48,Armstrong,2020-05-26,0
Texas,48,Armstrong,2020-05-27,0
Texas,48,Armstrong,2020-05-28,0
Texas,48,Armstrong,2020-05-29,1
Texas,48,Armstrong,2020-05-30,1
Texas,48,Armstrong,2020-05-31,1
Texas,48,Armstrong,2020-06-01,1
Texas,48,Armstrong,2020-06-02,1
Texas,48,Armstrong,2020-06-03,1
Texas,48,Armstrong,2020-06-04,1
Texas,48,Armstrong,2020-06-05,1
Texas,48,Armstrong,2020-06-06,1
Texas,48,Armstrong,2020-06-07,1
Texas,48,Armstrong,2020-06-08,1
Texas,48,Armstrong,2020-06-09,1
Texas,48,Armstrong,2020-06-10,1
Texas,48,Armstrong,2020-06-11,1
Texas,48,Armstrong,2020-06-12,0
Texas,48,Armstrong,2020-06-13,0
Texas,48,Armstrong,2020-06-14,0
Texas,48,Armstrong,2020-06-15,0
Texas,48,Armstrong,2020-06-16,0
Texas,48,Armstrong,2020-06-17,0
Texas,48,Armstrong,2020-06-18,0
Texas,48,Armstrong,2020-06-19,0
Texas,48,Armstrong,2020-06-20,0
Texas,48,Armstrong,2020-06-21,0
Texas,48,Armstrong,2020-06-22,0
Texas,48,Armstrong,2020-06-23,0
Texas,48,Armstrong,2020-06-24,0
Texas,48,Armstrong,2020-06-25,0
Texas,48,Armstrong,2020-06-26,1
Texas,48,Armstrong,2020-06-27,1
Texas,48,Armstrong,2020-06-28,1
Texas,48,Armstrong,2020-06-29,1
Texas,48,Armstrong,2020-06-30,1
Texas,48,Armstrong,2020-07-01,0
Texas,48,Armstrong,2020-07-02,0
Texas,48,Armstrong,2020-07-03,0
Texas,48,Armstrong,2020-07-04,0
Texas,48,Armstrong,2020-07-05,0
Texas,48,Armstrong,2020-07-06,0
Texas,48,Armstrong,2020-07-07,0
Texas,48,Armstrong,2020-07-08,0
Texas,48,Armstrong,2020-07-09,0
Texas,48,Armstrong,2020-07-10,0
Texas,48,Armstrong,2020-07-11,0
Texas,48,Armstrong,2020-07-12,0
Texas,48,Armstrong,2020-07-13,0
Texas,48,Armstrong,2020-07-14,0
Texas,48,Armstrong,2020-07-15,0
Texas,48,Armstrong,2020-07-16,0
Texas,48,Armstrong,2020-07-17,0
Texas,48,Armstrong,2020-07-18,0
Texas,48,Armstrong,2020-07-19,0
Texas,48,Armstrong,2020-07-20,0
Texas,48,Armstrong,2020-07-21,0
Texas,48,Armstrong,2020-07-22,0
Texas,48,Armstrong,2020-07-23,0
Texas,48,Armstrong,2020-07-24,1
Texas,48,Armstrong,2020-07-25,1
Texas,48,Armstrong,2020-07-26,1
Texas,48,Armstrong,2020-07-27,1
Texas,48,Atascosa,2020-04-07,4
Texas,48,Atascosa,2020-04-08,3
Texas,48,Atascosa,2020-04-09,3
Texas,48,Atascosa,2020-04-10,5
Texas,48,Atascosa,2020-04-11,6
Texas,48,Atascosa,2020-04-12,7
Texas,48,Atascosa,2020-04-13,7
Texas,48,Atascosa,2020-04-14,7
Texas,48,Atascosa,2020-04-15,7
Texas,48,Atascosa,2020-04-16,7
Texas,48,Atascosa,2020-04-17,7
Texas,48,Atascosa,2020-04-18,7
Texas,48,Atascosa,2020-04-19,7
Texas,48,Atascosa,2020-04-20,9
Texas,48,Atascosa,2020-04-21,10
Texas,48,Atascosa,2020-04-22,9
Texas,48,Atascosa,2020-04-23,9
Texas,48,Atascosa,2020-04-24,7
Texas,48,Atascosa,2020-04-25,7
Texas,48,Atascosa,2020-04-26,5
Texas,48,Atascosa,2020-04-27,5
Texas,48,Atascosa,2020-04-28,7
Texas,48,Atascosa,2020-04-29,7
