county,date,value
Ellis,2020-05-30,500
Ellis,2020-05-23,513
Ellis,2020-05-16,559
Ellis,2020-05-09,630
Ellis,2020-05-02,768
Ellis,2020-04-25,810
Ellis,2020-04-18,1041
Ellis,2020-04-11,1185
Erath,2020-06-13,148
Erath,2020-06-06,132
Erath,2020-05-30,80
Erath,2020-05-23,122
Erath,2020-05-16,123
Erath,2020-05-09,97
Erath,2020-05-02,193
Erath,2020-04-25,139
Erath,2020-04-18,212
Erath,2020-04-11,211
Falls,2020-06-13,31
Falls,2020-06-06,41
Falls,2020-05-30,30
Falls,2020-05-23,41
Falls,2020-05-16,34
Falls,2020-05-09,37
Falls,2020-05-02,31
Falls,2020-04-25,54
Falls,2020-04-18,49
Falls,2020-04-11,49
Fannin,2020-06-13,43
Fannin,2020-06-06,63
Fannin,2020-05-30,66
Fannin,2020-05-23,78
Fannin,2020-05-16,97
Fannin,2020-05-09,100
Fannin,2020-05-02,110
Fannin,2020-04-25,98
Fannin,2020-04-18,142
Fannin,2020-04-11,151
Fayette,2020-06-13,28
Fayette,2020-06-06,24
Fayette,2020-05-30,22
Fayette,2020-05-23,37
Fayette,2020-05-16,46
Fayette,2020-05-09,58
Fayette,2020-05-02,85
Fayette,2020-04-25,70
Fayette,2020-04-18,71
Fayette,2020-04-11,115
Fisher,2020-06-13,5
Fisher,2020-06-06,2
Fisher,2020-05-30,10
Fisher,2020-05-23,8
Fisher,2020-05-16,10
Fisher,2020-05-09,14
Fisher,2020-05-02,6
Fisher,2020-04-25,6
Fisher,2020-04-18,6
Fisher,2020-04-11,3
Floyd,2020-06-13,7
Floyd,2020-06-06,7
Floyd,2020-05-30,6
Floyd,2020-05-23,10
Floyd,2020-05-16,9
Floyd,2020-05-09,7
Floyd,2020-05-02,7
Floyd,2020-04-25,8
Floyd,2020-04-18,7
Floyd,2020-04-11,8
Foard,2020-06-13,NA
Foard,2020-06-06,1
Foard,2020-05-30,NA
Foard,2020-05-23,1
Foard,2020-05-16,2
Foard,2020-05-09,NA
Foard,2020-05-02,2
Foard,2020-04-25,NA
Foard,2020-04-18,2
Foard,2020-04-11,NA
