county,date,value
Guadalupe,2020-06-06,344
Guadalupe,2020-05-30,379
Guadalupe,2020-05-23,482
Guadalupe,2020-05-16,662
Guadalupe,2020-05-09,988
Hale,2020-07-11,59
Hale,2020-07-04,64
Hale,2020-06-27,73
Hale,2020-06-20,52
Hale,2020-06-13,54
Hale,2020-06-06,62
Hale,2020-05-30,63
Hale,2020-05-23,77
Hale,2020-05-16,89
Hale,2020-05-09,75
Hall,2020-07-11,4
Hall,2020-07-04,2
Hall,2020-06-27,2
Hall,2020-06-20,6
Hall,2020-06-13,6
Hall,2020-06-06,7
Hall,2020-05-30,5
Hall,2020-05-23,5
Hall,2020-05-16,8
Hall,2020-05-09,2
Hamilton,2020-07-11,7
Hamilton,2020-07-04,7
Hamilton,2020-06-27,14
Hamilton,2020-06-20,21
Hamilton,2020-06-13,17
Hamilton,2020-06-06,11
Hamilton,2020-05-30,11
Hamilton,2020-05-23,17
Hamilton,2020-05-16,23
Hamilton,2020-05-09,12
Hansford,2020-07-11,3
Hansford,2020-07-04,4
Hansford,2020-06-27,5
Hansford,2020-06-20,4
Hansford,2020-06-13,14
Hansford,2020-06-06,10
Hansford,2020-05-30,6
Hansford,2020-05-23,8
Hansford,2020-05-16,3
Hansford,2020-05-09,6
Hardeman,2020-07-11,4
Hardeman,2020-07-04,8
Hardeman,2020-06-27,3
Hardeman,2020-06-20,2
Hardeman,2020-06-13,3
Hardeman,2020-06-06,3
Hardeman,2020-05-30,4
Hardeman,2020-05-23,13
Hardeman,2020-05-16,10
Hardeman,2020-05-09,6
Hardin,2020-07-11,185
Hardin,2020-07-04,206
Hardin,2020-06-27,142
Hardin,2020-06-20,137
