place,place_type,county,allocated,curr_released,pct_released
City of Carbon,City/Town,Eastland,14520,2904,0.2
City of Cisco,City/Town,Eastland,212300,42460,0.2
City of Eastland,City/Town,Eastland,222860,44572,0.2
City of Gorman,City/Town,Eastland,57090,11418,0.2
City of Ranger,City/Town,Eastland,132770,26554,0.2
City of Rising Star,City/Town,Eastland,45980,9196,0.2
Ector County,County,Ector,2613105,522621,0.2
City of Goldsmith,City/Town,Ector,14795,2959,0.2
City of Odessa,City/Town,Ector,6514365,1326248,0.20358822387139805
Edwards County,County,Edwards,44110,8822,0.2
Edwards County,County,Edwards,44110,8822,0.2
City of Rocksprings,City/Town,Edwards,62150,12430,0.2
City of Rocksprings,City/Town,Edwards,62150,12430,0.2
Ellis County,County,Ellis,3460930,692186,0.2
City of Alma,City/Town,Ellis,22000,4400,0.2
City of Bardwell,City/Town,Ellis,39765,7953,0.2
City of Cedar Hill,City/Town,Ellis,30745,6149,0.2
City of Ennis,City/Town,Ellis,1157310,231462,0.2
City of Ferris,City/Town,Ellis,155100,31020,0.2
City of Garrett,City/Town,Ellis,51425,10285,0.2
City of Glenn Heights,City/Town,Ellis,167695,33539,0.2
City of Grand Prairie,City/Town,Ellis,1540,308,0.2
City of Italy,City/Town,Ellis,107635,21527,0.2
City of Mansfield,City/Town,Ellis,6545,1309,0.2
City of Maypearl,City/Town,Ellis,63030,12606,0.2
City of Midlothian,City/Town,Ellis,1556555,311311,0.2
City of Milford,City/Town,Ellis,42020,8404,0.2
City of Oak Leaf,City/Town,Ellis,81345,16269,0.2
City of Palmer,City/Town,Ellis,122870,24574,0.2
City of Pecan Hill,City/Town,Ellis,37895,7579,0.2
City of Red Oak,City/Town,Ellis,723415,144683,0.2
City of Waxahachie,City/Town,Ellis,2125365,425073,0.2
City of Ovilla,City/Town,Ellis,207515,41503,0.2
City of Venus,City/Town,Ellis,4730,946,0.2
Erath County,County,Erath,936155,187231,0.2
City of Dublin,City/Town,Erath,198660,39732,0.2
City of Stephenville,City/Town,Erath,1213575,242715,0.2
Falls County,County,Falls,499290,99858,0.2
City of Bruceville-Eddy,City/Town,Falls,220,44,0.2
City of Lott,City/Town,Falls,43010,8602,0.2
City of Marlin,City/Town,Falls,311575,62315,0.2
City of Rosebud,City/Town,Falls,73920,14784,0.2
City of Golinda,City/Town,Falls,23320,4664,0.2
Fannin County,County,Fannin,939345,187869,0.2
City of Bailey,City/Town,Fannin,16720,3344,0.2
City of Bonham,City/Town,Fannin,586960,117392,0.2
City of Dodd City,City/Town,Fannin,21120,4224,0.2
City of Ector,City/Town,Fannin,39930,7986,0.2
City of Honey Grove,City/Town,Fannin,91520,18304,0.2
City of Ladonia,City/Town,Fannin,34430,6886,0.2
City of Leonard,City/Town,Fannin,114400,22880,0.2
City of Pecan Gap,City/Town,Fannin,660,132,0.2
City of Ravenna,City/Town,Fannin,11715,2343,0.2
City of Savoy,City/Town,Fannin,46530,9306,0.2
City of Trenton,City/Town,Fannin,38060,7612,0.2
City of Whitewright,City/Town,Fannin,440,88,0.2
City of Windom,City/Town,Fannin,11440,2288,0.2
Fayette County,County,Fayette,854260,170852,0.2
City of Carmine,City/Town,Fayette,14190,2838,0.2
City of Fayetteville,City/Town,Fayette,14905,2981,0.2
City of Flatonia,City/Town,Fayette,83105,16621,0.2
City of La Grange,City/Town,Fayette,261305,52261,0.2
City of Round Top,City/Town,Fayette,4840,968,0.2
City of Schulenburg,City/Town,Fayette,161425,32285,0.2
City of Fisher,City/Town,Fayette,99880,19976,0.2
City of Roby,City/Town,Fayette,33330,6666,0.2
City of Rotan,City/Town,Fayette,77440,15488,0.2
Floyd County,County,Floyd,76835,15367,0.2
City of Floydada,City/Town,Floyd,146850,29370,0.2
City of Lockney,City/Town,Floyd,90475,18095,0.2
