state,industry,date,variable,pct,prev_date,prev_day,change,change_lbl,color
TX,Other,2020-03-08,hours_worked,4.4,6.6,2020-03-01,-2.1999999999999993,,#F26852
TX,Professional Services,2020-03-08,hours_worked,3.1,20.3,2020-03-01,-17.2,,#F26852
TX,Retail,2020-03-08,hours_worked,2,-0.7,2020-03-01,2.7,+,#66E8C6
TX,Transportation,2020-03-08,hours_worked,-8,-4.2,2020-03-01,-3.8,,#F26852
TX,Beauty & Personal Care,2020-03-08,locations_open,-10.3,-17.8,2020-03-01,7.5,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-08,locations_open,1.4,7,2020-03-01,-5.6,,#F26852
TX,Food & Drink,2020-03-08,locations_open,-1.5,-1.3,2020-03-01,-0.19999999999999996,,#F26852
TX,Health Care and Fitness,2020-03-08,locations_open,-2.5,-2.5,2020-03-01,0,,#FFD100
TX,Home and Repair,2020-03-08,locations_open,0,-6.7,2020-03-01,6.7,+,#66E8C6
TX,Leisure and Entertainment,2020-03-08,locations_open,5.7,5.7,2020-03-01,0,,#FFD100
TX,Other,2020-03-08,locations_open,-3.9,-3.2,2020-03-01,-0.6999999999999997,,#F26852
TX,Professional Services,2020-03-08,locations_open,-9.1,-6.3,2020-03-01,-2.8,,#F26852
TX,Retail,2020-03-08,locations_open,-1.3,-0.5,2020-03-01,-0.8,,#F26852
TX,Transportation,2020-03-08,locations_open,-21.7,13,2020-03-01,-34.7,,#F26852
TX,Beauty & Personal Care,2020-03-08,employees_working,-5.1,-8,2020-03-01,2.9000000000000004,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-08,employees_working,-18.7,2.6,2020-03-01,-21.3,,#F26852
TX,Food & Drink,2020-03-08,employees_working,1,0.1,2020-03-01,0.9,+,#66E8C6
TX,Health Care and Fitness,2020-03-08,employees_working,-2.8,0.5,2020-03-01,-3.3,,#F26852
TX,Home and Repair,2020-03-08,employees_working,-7.4,-6.4,2020-03-01,-1,,#F26852
TX,Leisure and Entertainment,2020-03-08,employees_working,10.7,9.6,2020-03-01,1.0999999999999996,+,#66E8C6
TX,Other,2020-03-08,employees_working,2.2,3.9,2020-03-01,-1.6999999999999997,,#F26852
TX,Professional Services,2020-03-08,employees_working,9.7,16.3,2020-03-01,-6.600000000000001,,#F26852
TX,Retail,2020-03-08,employees_working,-0.4,-1,2020-03-01,0.6,+,#66E8C6
